gene,systematicName,intensity
FEN2,YCR028C,0.0174216027874564
SYP1,YCR030C,0.235973597359736
BPH1,YCR032W,0.0132013201320132
SNT1,YCR033W,0.0159779614325069
ELO2,YCR034W,0.724714160070361
RRP43,YCR035C,0.0609623339865012
RBK1,YCR036W,0.169831223628692
PHO87,YCR037C,0.00657462195923735
BUD5,YCR038C,0.00605060506050605
MATALPHA2,YCR039C,0.0
,YCR041W,0.0303630363036304
TAF2,YCR042C,0.0209366391184573
,YCR043C,0.0686468646864686
PER1,YCR044C,0.128983308042489
RRT12,YCR045C,0.00924092409240924
IMG1,YCR046C,0.189225589225589
BUD23,YCR047C,0.0156803237228123
ARE1,YCR048W,0.00287081339712919
,YCR050C,0.00132013201320132
RSC6,YCR052W,0.0919290626131017
THR4,YCR053W,0.883817427385892
CTR86,YCR054C,0.0517711171662125
PWP2,YCR057C,0.0655475619504396
TAH1,YCR060W,0.166994106090373
,YCR061W,0.0603948896631823
BUD31,YCR063W,0.0343980343980344
HCM1,YCR065W,0.00419664268585132
RAD18,YCR066W,0.00901639344262295
SED4,YCR067C,0.0693069306930693
ATG15,YCR068W,0.0119225037257824
CPR4,YCR069W,0.00825082508250825
IMG2,YCR071C,0.191245791245791
SSK22,YCR073C,-1.15648231731787e-18
SOL2,YCR073W-A,0.203896450493728
ERS1,YCR075C,0.0687285223367698
,YCR075W-A,0.327319587628866
FUB1,YCR076C,0.165676567656766
PAT1,YCR077C,0.192136752136752
SRB8,YCR081W,0.0125338753387534
AHC2,YCR082W,0.0106805762543467
TRX3,YCR083W,0.573008849557522
TUP1,YCR084C,0.368977673325499
,YCR085W,0.0152008686210641
CSM1,YCR086W,0.0378837361201829
,YCR087C-A,0.0056607881558894
,YCR087W,0.0143824027072758
ABP1,YCR088W,1.49046679815911
FIG2,YCR089W,0.0099009900990099
,YCR090C,0.303086419753086
KIN82,YCR091W,0.00594059405940594
MSH3,YCR092C,0.0144710578842315
CDC39,YCR093W,0.154589371980676
CDC50,YCR094W,0.0475033738191633
OCA4,YCR095C,0.03905540417802
HMRA1,YCR097W,0.00066006600660066
,YCR097W-A,0.00516795865633075
GIT1,YCR098C,0.00396039603960396
,YCR099C,0.000660066006600661
,YCR100C,0.00132013201320132
,YCR101C,-1.15655290339681e-18
,YCR102W-A,0.000516795865633075
PAU3,YCR104W,-0.00528052805280528
